code,latitude,longitude,N,size,N_min,N_max
AAORDMD,39.2,-76.594,89.968,3.5,0.419,117.097
ABQHOLD,35.052,-106.627,2.516,2.0,0.871,29.3
ABRXSPA,40.192,-75.916,2.0,2.0,0.067,5.0
ABTHOLD,32.57,-99.679,0.0,2.0,0.033,1.067
ADACOID,43.607,-116.27,0.0,2.0,0.032,10.194
ADAIRKY,37.104,-85.307,0.032,2.0,0.032,0.032
ADAMSCO,39.991,-104.798,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.0,2.0,0.032,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
ADLNTCA,34.559,-117.441,1706.677,15.0,4.839,1855.839
AFRC,32.859,-104.415,0.0,2.0,0.032,532.097
AGAHOLD,13.476,144.75,0.0,2.0,0.032,0.533
AGC,18.43,-67.154,0.0,2.0,0.032,59.516
AGMDCCA,33.82,-117.909,0.0,2.0,0.1,1.968
AIRHOPR,18.44,-65.999,0.0,2.0,0.032,1.1
AKCOOKI,61.218,-149.858,0.0,2.0,0.032,0.871
AKFAIRB,64.833,-147.759,0.0,2.0,0.032,0.968
AKHIGHL,61.303,-149.579,0.0,2.0,0.032,3.857
AKKETCH,55.348,-131.649,0.0,2.0,0.033,0.161
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.677
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKMCYOU,61.188,-149.831,0.0,2.0,0.065,0.097
AKPALMC,61.691,-149.008,0.0,2.0,0.065,0.167
AKPSYNJ,40.22,-74.764,0.0,2.0,0.032,0.033
AKWILCC,60.584,-151.3,0.0,2.0,0.161,0.161
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.133
ALAMCNC,36.068,-79.404,0.0,2.0,0.033,89.067
ALAMOCO,37.455,-105.876,0.0,2.0,0.032,0.036
ALAMOTX,26.182,-98.119,0.032,2.0,0.032,0.8
ALBCONY,42.751,-73.816,18.258,3.5,1.367,291.774
ALBEMVA,38.006,-78.495,0.0,2.0,0.032,0.097
ALBHOLD,42.765,-73.812,0.032,2.0,0.032,0.2
ALEXAAL,38.798,-77.065,0.0,2.0,0.033,0.033
ALEXAVA,38.798,-77.065,0.161,2.0,0.032,6.533
ALHAMCA,34.092,-118.127,0.0,2.0,0.032,25.964
ALLEGNY,42.213,-78.017,0.0,2.0,0.032,23.677
ALLEGPA,40.435,-79.994,0.0,2.0,0.129,16.484
ALMHOLD,37.489,-105.86,0.355,2.0,0.032,0.935
AMTHOLD,35.225,-101.741,2.548,2.0,0.033,3.286
ANCHOAK,61.219,-149.857,0.161,2.0,0.065,9.714
ANDRWTX,32.309,-102.532,0.0,2.0,0.033,0.429
ANJUVMN,45.181,-93.124,0.0,2.0,0.067,0.1
APACHAZ,34.502,-109.365,0.0,2.0,0.097,3.517
APIBHCA,32.774,-117.044,1.226,2.0,0.065,7.133
APPSCLA,30.624,-92.784,51.258,3.5,11.516,55.161
ARLCOVA,38.891,-77.083,0.0,2.0,0.032,52.29
AROOSME,46.125,-67.839,0.0,2.0,0.032,0.467
ARRMCCA,34.074,-117.351,0.129,2.0,0.032,1.0
ARTESNM,32.845,-104.405,0.0,2.0,0.032,0.032
ARTSINM,32.858,-104.419,0.0,2.0,0.032,0.032
ASHECNC,36.419,-81.46,0.0,2.0,0.032,0.033
ASHRSFL,26.185,-80.119,0.0,2.0,0.033,3.032
ATLANGA,33.763,-84.387,0.0,2.0,1.167,365.633
ATLHOLD,33.753,-84.394,20.065,3.5,9.742,41.935
ATTHOLD,32.204,-95.856,0.194,2.0,0.065,0.4
AURORCO,39.71,-104.796,0.0,2.0,0.032,0.032
AUSHOLD,30.269,-97.739,5.677,2.0,0.129,17.226
AVPARLA,31.117,-92.067,0.0,2.0,0.032,0.032
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
AZSPPER,33.471,-112.442,0.032,2.0,0.032,0.067
AZSVCPC,33.453,-112.026,0.0,2.0,0.097,0.7
BAILECA,32.59,-116.921,0.0,2.0,0.032,0.806
BAKERFL,30.296,-82.122,243.065,6.0,43.4,295.6
BALDWAL,30.885,-87.775,2.774,2.0,0.774,8.742
BALHOLD,39.255,-76.681,3.742,2.0,1.935,13.367
BANNOID,42.825,-112.389,0.0,2.0,0.032,5.065
BARNSMA,41.7,-70.303,0.0,2.0,0.267,0.267
BARRECA,32.718,-116.677,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.582,0.0,2.0,120.903,824.167
