code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.052,-106.627,11.467,3.5,3.71,11.968
ADACOID,43.607,-116.27,0.0,2.0,1.097,10.194
ADAMSCO,39.991,-104.798,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.267,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
AGAHOLD,13.476,144.75,0.0,2.0,0.033,0.033
AGC,18.43,-67.154,45.6,3.5,13.968,59.516
AIRHOPR,18.44,-65.999,0.0,2.0,0.067,0.1
AKCOOKI,61.218,-149.858,0.0,2.0,0.065,0.871
AKFAIRB,64.833,-147.759,0.0,2.0,0.033,0.968
AKHIGHL,61.303,-149.579,0.267,2.0,0.032,3.857
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.581
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.065
ALAMCNC,36.068,-79.404,72.333,3.5,57.258,89.067
ALBCONY,42.751,-73.816,2.6,2.0,1.6,18.032
ALEXAVA,38.798,-77.065,0.2,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,3.933,2.0,0.677,25.964
ALLEGNY,42.213,-78.017,8.567,2.0,4.968,23.677
ALLEGPA,40.435,-79.994,7.067,2.0,6.71,16.484
ANCHOAK,61.219,-149.857,3.567,2.0,1.29,6.516
ANJUVMN,45.181,-93.124,0.1,2.0,0.067,0.1
APACHAZ,34.502,-109.365,0.0,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,2.667,2.0,0.871,52.29
AROOSME,46.125,-67.839,0.0,2.0,0.065,0.333
ATLANGA,33.763,-84.387,166.367,6.0,162.613,214.3
ATLHOLD,33.753,-84.394,27.833,3.5,26.613,33.6
AURORCO,39.71,-104.796,0.0,2.0,0.032,0.032
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
BAKERFL,30.296,-82.122,151.0,6.0,43.4,151.0
BALHOLD,39.255,-76.681,8.9,2.0,7.633,13.367
BANNOID,42.825,-112.389,0.067,2.0,0.032,5.065
BARRECA,32.718,-116.677,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.582,335.833,6.0,315.1,756.774
BEDCITX,32.842,-97.131,2.967,2.0,2.935,44.367
BEDFOOH,41.406,-81.498,42.267,3.5,12.733,42.267
BEDFOPA,40.017,-78.506,0.0,2.0,0.226,0.323
BEFAMPA,40.38,-76.016,49.5,3.5,49.5,83.226
BENTOWA,46.222,-119.219,5.633,2.0,3.75,15.742
BERGENJ,40.874,-74.039,127.667,6.0,104.774,142.7
BERKSPA,40.385,-76.02,0.533,2.0,0.533,32.806
BERNANM,35.09,-106.651,0.0,2.0,0.032,0.267
BESECPA,40.382,-76.017,3.067,2.0,1.633,7.032
BHCALCA,34.089,-118.074,0.0,2.0,0.484,3.645
BIGHOMT,45.35,-107.272,0.533,2.0,0.032,0.533
BIGHOWY,44.382,-108.039,0.0,2.0,0.033,0.033
