code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.052,-106.627,11.742,3.5,3.71,11.968
ADACOID,43.607,-116.27,0.0,2.0,1.097,10.194
ADAMSCO,39.991,-104.798,0.032,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.226,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.323,2.0,0.032,0.567
AGAHOLD,13.476,144.75,0.0,2.0,0.033,0.033
AGC,18.43,-67.154,59.516,3.5,13.968,59.516
AIRHOPR,18.44,-65.999,0.097,2.0,0.067,0.1
AKCOOKI,61.218,-149.858,0.129,2.0,0.065,0.871
AKFAIRB,64.833,-147.759,0.0,2.0,0.033,0.968
AKHIGHL,61.303,-149.579,0.0,2.0,0.032,3.857
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.581
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.065
ALAMCNC,36.068,-79.404,79.355,3.5,57.258,89.067
ALBCONY,42.751,-73.816,3.452,2.0,1.6,18.032
ALEXAVA,38.798,-77.065,0.323,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,2.387,2.0,0.677,25.964
ALLEGNY,42.213,-78.017,10.839,3.5,4.968,23.677
ALLEGPA,40.435,-79.994,11.71,3.5,6.71,16.484
ANCHOAK,61.219,-149.857,4.065,2.0,1.29,6.516
ANJUVMN,45.181,-93.124,0.0,2.0,0.067,0.067
APACHAZ,34.502,-109.365,0.452,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,1.226,2.0,0.871,52.29
AROOSME,46.125,-67.839,0.129,2.0,0.065,0.333
ATLANGA,33.763,-84.387,186.452,6.0,162.613,214.3
ATLHOLD,33.753,-84.394,26.613,3.5,26.613,33.6
AURORCO,39.71,-104.796,0.0,2.0,0.032,0.032
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
BAKERFL,30.296,-82.122,98.097,3.5,43.4,98.097
BALHOLD,39.255,-76.681,10.065,3.5,7.633,13.367
BANNOID,42.825,-112.389,0.0,2.0,0.032,5.065
BARRECA,32.718,-116.677,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.582,492.71,6.0,315.1,756.774
BEDCITX,32.842,-97.131,6.097,2.0,2.935,44.367
BEDFOOH,41.406,-81.498,27.742,3.5,12.733,31.967
BEDFOPA,40.017,-78.506,0.0,2.0,0.226,0.323
BEFAMPA,40.38,-76.016,58.29,3.5,58.29,83.226
BENTOWA,46.222,-119.219,6.581,2.0,3.75,15.742
BERGENJ,40.874,-74.039,129.581,6.0,104.774,142.7
BERKSPA,40.385,-76.02,4.452,2.0,4.452,32.806
BERNANM,35.09,-106.651,0.0,2.0,0.032,0.267
BESECPA,40.382,-76.017,3.097,2.0,1.633,7.032
BHCALCA,34.089,-118.074,0.0,2.0,0.484,3.645
BIGHOMT,45.35,-107.272,0.516,2.0,0.032,0.516
BIGHOWY,44.382,-108.039,0.0,2.0,0.033,0.033
BKLHOLD,35.374,-119.011,11.677,3.5,8.839,16.1
BLOUNTN,35.755,-83.959,0.0,2.0,1.643,4.733
BOEHOLD,31.806,-106.371,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.0,2.0,0.097,0.871
BOONEKY,39.037,-84.728,105.161,6.0,33.3,117.097
BOPALM,41.127,-76.922,1.0,2.0,1.0,2.0
BOPCAA,41.567,-75.412,1.0,2.0,0.967,1.0
BOPCUM,39.597,-78.754,1.0,2.0,1.0,1.0
BOPGUA,38.795,-106.535,50.484,3.5,32.133,72.133
BOPHON,21.334,-157.928,55.935,3.5,48.355,70.871
BOPLOF,34.677,-120.498,0.0,2.0,0.033,0.033
BOPLOS,34.054,-118.24,0.0,2.0,0.032,0.032
BOPMAR,37.663,-88.984,1.0,2.0,1.0,1.0
BOPMEM,35.156,-89.867,1.0,2.0,1.0,1.0
BOPMIM,25.778,-80.193,0.0,2.0,0.065,0.065
BOPOAD,30.832,-92.637,679.548,9.0,466.194,744.821
BOPRAE,32.054,-82.877,0.0,2.0,0.032,0.033
BOPRCH,44.024,-92.436,0.871,2.0,0.871,2.0
BOPSET,47.422,-122.301,0.0,2.0,0.033,0.033
BOPSPG,37.177,-93.325,7.0,2.0,5.29,7.0
BOPTHA,39.408,-87.455,1.0,2.0,1.0,2.065
BOSHOLD,42.483,-71.209,0.194,2.0,0.1,0.226
BOTTIND,48.828,-100.45,0.581,2.0,0.071,0.933
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.368,-71.052,0.0,2.0,0.033,1.806
BRADEFL,27.495,-82.573,0.0,2.0,0.3,1.0
BRINDMA,41.666,-70.996,242.548,6.0,128.258,242.548
BROADMT,46.322,-111.515,0.065,2.0,0.065,0.194
BROCRFL,26.034,-80.42,0.0,2.0,0.067,0.067
BROKSTX,27.248,-98.127,0.0,2.0,0.179,0.179
BROMMNY,42.131,-75.914,0.29,2.0,0.033,0.548
BTV,43.02,-78.202,560.419,9.0,477.806,574.067
