detention_facility_code,name,state,start,end,place,type
RICRANS,"ACI, Cranston RI",RI,77,78,"Cranston, RI",Non-dedicated
AZDCTUC,AZ Dpt Corrections Tucson,AZ,6,7,"Tucson, AZ",Non-dedicated
IWAHOLD,AZ Rem Op Coord Center (AROCC),AZ,15,201,"Mesa, AZ",Hold / Staging
ANWHMMN,Abbott Northwestern Hosp,MN,174,175,"Minneapolis, MN",Medical
ABTHOLD,Abilene Hold Room,TX,56,86,"Abilene, TX",Hold / Staging
ABRMCTX,Abilene Regional Med Ctr,TX,144,145,"Abilene, TX",Medical
ABRXSPA,Abraxas Academy Detention Center,PA,67,189,"Morgantown, PA",Family / Youth
ADACOID,Ada County Jail,ID,0,130,"Boise, ID",Non-dedicated
ADAIRKY,Adair County Regional Jail,KY,123,124,"Columbia, KY",Other / Unknown
ADAMSWA,Adams County,WA,0,137,"Ritzville, WA",Non-dedicated
ADAMSMS,Adams County Det Center,MS,128,201,"Natchez, MS",Dedicated
ADAMSCO,Adams County Jail,CO,12,18,"Brighton, CO",Non-dedicated
ADDCOVT,Addison County Jail,VT,0,201,"Middlebury, VT",Non-dedicated
ADLNTCA,Adelanto ICE Processing Center,CA,34,201,"Adelanto, CA",Dedicated
NYADIRC,"Adirondack CF, Raybrook",NY,133,134,"Ray Brook, NY",Other / Unknown
ADVHBCA,Adventist Health Bakersfield,CA,180,199,"Bakersfield, CA",Medical
ADVHCHI,Adventist Health Castle,HI,199,200,"Kailua, HI",Medical
ADVHDCA,Adventist Health Delano,CA,190,200,"Delano, CA",Medical
AGAHOLD,Agana INS,GU,11,200,"Hagatna, GU",Hold / Staging
AGC,Aguadilla SPC,PR,0,201,"Aguadilla, PR",Hold / Staging
AIRHOPR,"Airport Hotel, Saj.",PR,0,175,"Isla Verde, PR",Hotel
ALAMCNC,Alamance Co. Det. Facility,NC,0,201,"Graham, NC",Non-dedicated
ALAMOTX,Alamo Police Dept.,TX,69,200,"Alamo, TX",Other / Unknown
ALAMOCO,Alamosa County Jail,CO,93,136,"Alamosa, CO",Other / Unknown
ALMHOLD,Alamosa Holdroom,CO,24,200,"Alamosa, CO",Hold / Staging
ALBCONY,Albany County Jail,NY,0,126,"Albany, NY",Federal
ALBHOLD,Albany Holdroom,NY,86,201,"Latham, NY",Hold / Staging
ALBEMVA,Albemarle-Charlottesville,VA,31,71,"Charlottesville, VA",Non-dedicated
ABQHOLD,Albuquerque Hold Room,NM,7,201,"Albuquerque, NM",Hold / Staging
ALEXAVA,Alexandria City Jail,VA,3,201,"Alexandria, VA",Federal
ALEXAAL,Alexandria City Jail,VA,102,103,"Alexandria, VA",Other / Unknown
JENATLA,Alexandria Staging Facility,LA,73,201,"Alexandria, LA",Hold / Staging
BHCALCA,Alhambra BHC Hospital,CA,0,76,"Rosemead, CA",Medical
ALHAMCA,Alhambra City Jail,CA,0,188,"Alhambra, CA",Federal
ALLEGNY,Allegany County Jail,NY,0,201,"Belmont, NY",Non-dedicated
ALLEGPA,Allegheny Co. Jail,PA,0,88,"Pittsburgh, PA",Federal
ALLENIN,Allen County Jail,IN,136,165,"Ft. Wayne, IN",Federal
APPSCLA,Allen Parish Public Safety Complex,LA,91,201,"Oberlin, LA",Non-dedicated
BOPALM,Allenwood (Med) FCI,PA,0,170,"White Deer, PA",Federal
AHGRFND,Altru Hospital Grand Forks,ND,200,201,"Grand Forks, ND",Medical
APIBHCA,Alvarado Parkway Institute,CA,76,201,"La Mesa, CA",Medical
AMTHOLD,Amarillo Hold Room,TX,53,201,"Amarillo, TX",Hold / Staging
AGMDCCA,Anaheim Global Medical Center,CA,81,201,"Anaheim, CA",Medical
ANCHOAK,Anchorage Jail,AK,0,201,"Anchorage, AK",Federal
ANCHOLD,Anchorage Sub-Office Hold Room,AK,144,201,"Anchorage, AK",Hold / Staging
ANDERSC,Anderson County Det Center,SC,147,190,"Anderson, SC",Other / Unknown
ANDRWTX,Andrews Sherrif's Office Co Jail,TX,111,122,"Andrews, TX",Other / Unknown
AKPSYNJ,Anne Klein Phsychiatric Institute,NJ,43,60,"W. Trenton, NJ",Medical
FIPCAGA,Annex Folkston IPC,GA,115,201,"Folkston, GA",Dedicated
ANJUVMN,Anoka Co. Juvenile Center,MN,8,22,"Lino Lakes, MN",Family / Youth
ANSGHTX,Anson General Hospital,TX,150,185,"Anson, TX",Medical
APACHAZ,Apache Co. Jail,AZ,3,60,"St Johns, AZ",Federal
ARAPACO,Arapahoe County Jail,CO,127,133,"Littleton, CO",Non-dedicated
AZSVCPC,Arizona Service Prison Complex,AZ,83,200,"Phoenix, AZ",Other / Unknown
AZSPFLO,Arizona State Prison Comp,AZ,137,138,"Florence, AZ",Other / Unknown
ARLCOVA,Arlington Co Jail,VA,0,40,"Arlington, VA",Federal
AROOSME,Aroostook County Jail,ME,0,140,"Houlton, ME",Federal
ARRMCCA,Arrowhead Regional Med Center,CA,68,200,"Colton, CA",Medical
ARTESNM,Artesia City Jail,NM,122,178,"Artesia, NM",Other / Unknown
AFRC,Artesia Family Residential Center,NM,68,160,"Artesia, NM",Family / Youth
ARTSINM,Artesia Law Enforcement Center,NM,96,97,"Artesia, NM",Other / Unknown
ASWHRTX,Ascension Seton Williams Hosp,TX,172,176,"Round Rock, TX",Medical
ASHECNC,Ashe County Jail,NC,57,106,"Jefferson, NC",Other / Unknown
ATTHOLD,"Athens, TX Hold Room",TX,105,198,"Athens, TX",Hold / Staging
ATLHOLD,Atlanta Dist. Hold Rm,GA,0,201,"Atlanta, GA",Hold / Staging
ATLANGA,Atlanta Pretrial Detn Ctr,GA,0,199,"Atlanta, GA",Federal
BOPATL,Atlanta U.S. Pen.,GA,196,201,"Atlanta, GA",Other / Unknown
ASHRSFL,Atlantic Shores Hospital,FL,26,192,"Fort Lauderdale, FL",Medical
AURORCO,Aurora City Jail,CO,10,191,"Aurora, CO",Non-dedicated
AUSHOLD,Austin DRO Hold Room,TX,19,201,"Austin, TX",Hold / Staging
AVPARLA,Avoyelles Parish Prison,LA,41,46,"Marksville, LA",Non-dedicated
ABIRJVA,B.R.R.J. Abingdon,VA,199,201,"Lynchburg, VA",Other / Unknown
BIINCCO,"BI Incororated, GEO Group Company",CO,195,201,"Aurora, CO",Other / Unknown
BSCORTX,BSCC Airpark Unit,TX,16,51,"Big Spring, TX",Federal
BSCDRTX,BSCC Cedar Hill Unit,TX,28,29,"Big Spring, TX",Federal
BSFLTTX,BSCC Flightline Unit,TX,28,53,"Big Spring, TX",Federal
BSGDFTX,BSCC Giles Darby Facility,TX,28,29,"Post, TX",Federal
BSNTRTX,BSCC Interstate Unit,TX,32,33,"Big Spring, TX",Federal
FLBAKCI,Baker C. I.,FL,95,157,"Sanderson, FL",Other / Unknown
CACFBAK,Baker CCF,CA,54,55,"Baker, CA",Non-dedicated
