code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.052,-106.627,3.71,2.0,3.71,3.71
ADACOID,43.607,-116.27,1.097,2.0,1.097,10.194
ADAMSWA,47.127,-118.383,0.452,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
AGC,18.43,-67.154,26.742,3.5,13.968,48.387
AIRHOPR,18.44,-65.999,0.0,2.0,0.067,0.097
AKCOOKI,61.218,-149.858,0.065,2.0,0.065,0.133
AKFAIRB,64.833,-147.759,0.065,2.0,0.065,0.968
AKHIGHL,61.303,-149.579,0.032,2.0,0.032,3.857
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.3
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.065
ALAMCNC,36.068,-79.404,61.484,3.5,57.258,89.067
ALBCONY,42.751,-73.816,1.613,2.0,1.6,18.032
ALEXAVA,38.798,-77.065,0.065,2.0,0.065,0.2
ALHAMCA,34.092,-118.127,13.645,3.5,12.467,25.964
ALLEGNY,42.213,-78.017,4.968,2.0,4.968,23.677
ALLEGPA,40.435,-79.994,7.097,2.0,6.71,16.484
ANCHOAK,61.219,-149.857,3.839,2.0,1.613,6.516
APACHAZ,34.502,-109.365,0.0,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,52.29,3.5,0.871,52.29
AROOSME,46.125,-67.839,0.258,2.0,0.067,0.333
ATLANGA,33.763,-84.387,198.742,6.0,162.613,198.742
ATLHOLD,33.753,-84.394,26.839,3.5,26.71,33.6
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
BALHOLD,39.255,-76.681,9.516,2.0,8.0,13.367
BANNOID,42.825,-112.389,0.226,2.0,0.133,5.065
BASILLA,30.487,-92.582,378.903,6.0,315.1,538.677
BEDCITX,32.842,-97.131,5.323,2.0,3.4,44.367
BEDFOOH,41.406,-81.498,17.935,3.5,14.767,27.097
BEDFOPA,40.017,-78.506,0.0,2.0,0.226,0.323
BEFAMPA,40.38,-76.016,78.613,3.5,63.321,83.226
BENTOWA,46.222,-119.219,4.097,2.0,3.75,12.516
BERGENJ,40.874,-74.039,119.387,6.0,104.774,142.7
BERKSPA,40.385,-76.02,18.0,3.5,18.0,32.806
BERNANM,35.09,-106.651,0.0,2.0,0.032,0.267
BESECPA,40.382,-76.017,2.806,2.0,2.267,7.032
BHCALCA,34.089,-118.074,0.0,2.0,0.484,3.645
BIGHOMT,45.35,-107.272,0.0,2.0,0.032,0.2
BIGHOWY,44.382,-108.039,0.0,2.0,0.033,0.033
BKLHOLD,35.374,-119.011,14.387,3.5,8.839,14.387
BLOUNTN,35.755,-83.959,0.0,2.0,1.643,4.733
BOEHOLD,31.806,-106.371,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.0,2.0,0.097,0.871
BOONEKY,39.037,-84.728,92.097,3.5,33.3,92.097
BOPALM,41.127,-76.922,2.0,2.0,2.0,2.0
