code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.052,-106.627,13.0,3.5,3.71,13.0
ADACOID,43.607,-116.27,0.0,2.0,1.097,10.194
ADAMSCO,39.991,-104.798,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.107,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.143,2.0,0.032,0.567
AGAHOLD,13.476,144.75,0.0,2.0,0.032,0.033
AGC,18.43,-67.154,0.0,2.0,13.968,59.516
AIRHOPR,18.44,-65.999,0.107,2.0,0.067,0.129
AKCOOKI,61.218,-149.858,0.0,2.0,0.065,0.871
AKFAIRB,64.833,-147.759,0.0,2.0,0.033,0.968
AKHIGHL,61.303,-149.579,0.393,2.0,0.032,3.857
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.581
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKMCYOU,61.188,-149.831,0.0,2.0,0.097,0.097
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.065
ALAMCNC,36.068,-79.404,33.214,3.5,33.214,89.067
ALBCONY,42.751,-73.816,4.179,2.0,1.6,18.032
ALEXAVA,38.798,-77.065,0.071,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,5.607,2.0,0.677,25.964
ALLEGNY,42.213,-78.017,9.857,2.0,4.968,23.677
ALLEGPA,40.435,-79.994,6.286,2.0,3.903,16.484
ANCHOAK,61.219,-149.857,9.714,2.0,1.29,9.714
ANJUVMN,45.181,-93.124,0.0,2.0,0.067,0.1
APACHAZ,34.502,-109.365,0.0,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,1.75,2.0,0.71,52.29
AROOSME,46.125,-67.839,0.0,2.0,0.065,0.333
ATLANGA,33.763,-84.387,185.75,6.0,153.677,214.3
ATLHOLD,33.753,-84.394,28.107,3.5,25.194,33.6
AURORCO,39.71,-104.796,0.0,2.0,0.032,0.032
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
BAKERFL,30.296,-82.122,206.571,6.0,43.4,206.571
BALHOLD,39.255,-76.681,6.679,2.0,6.679,13.367
BANNOID,42.825,-112.389,0.143,2.0,0.032,5.065
BARRECA,32.718,-116.677,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.582,280.357,6.0,244.355,756.774
BEDCITX,32.842,-97.131,4.714,2.0,1.968,44.367
BEDFOOH,41.406,-81.498,24.607,3.5,12.733,42.267
BEDFOPA,40.017,-78.506,0.0,2.0,0.065,0.323
BEFAMPA,40.38,-76.016,40.857,3.5,40.857,83.226
BEJUVPA,40.382,-76.017,0.0,2.0,0.032,0.032
BENTOWA,46.222,-119.219,0.0,2.0,3.0,15.742
BERGENJ,40.874,-74.039,94.393,3.5,92.839,142.7
BERKSPA,40.385,-76.02,0.0,2.0,0.355,32.806
BERNANM,35.09,-106.651,0.0,2.0,0.032,0.267
