code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.052,-106.627,25.333,3.5,3.71,25.333
ADACOID,43.607,-116.27,0.0,2.0,0.033,10.194
ADAMSCO,39.991,-104.798,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.3,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
AGAHOLD,13.476,144.75,0.033,2.0,0.032,0.533
AGC,18.43,-67.154,0.0,2.0,0.033,59.516
AIRHOPR,18.44,-65.999,0.0,2.0,0.032,0.323
AKCOOKI,61.218,-149.858,0.0,2.0,0.065,0.871
AKFAIRB,64.833,-147.759,0.0,2.0,0.032,0.968
AKHIGHL,61.303,-149.579,0.2,2.0,0.032,3.857
AKKETCH,55.348,-131.649,0.0,2.0,0.033,0.161
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.581
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKMCYOU,61.188,-149.831,0.0,2.0,0.065,0.097
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.065
ALAMCNC,36.068,-79.404,44.533,3.5,33.214,89.067
ALBCONY,42.751,-73.816,32.233,3.5,1.6,32.233
ALEXAVA,38.798,-77.065,0.0,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,1.067,2.0,0.677,25.964
ALLEGNY,42.213,-78.017,13.533,3.5,3.806,23.677
ALLEGPA,40.435,-79.994,9.333,2.0,1.839,16.484
ALMHOLD,37.489,-105.86,0.633,2.0,0.161,0.929
ANCHOAK,61.219,-149.857,2.2,2.0,1.0,9.714
ANJUVMN,45.181,-93.124,0.0,2.0,0.067,0.1
APACHAZ,34.502,-109.365,0.0,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,0.0,2.0,0.065,52.29
AROOSME,46.125,-67.839,0.0,2.0,0.032,0.467
ASHRSFL,26.185,-80.119,0.5,2.0,0.5,2.097
ATLANGA,33.763,-84.387,108.7,6.0,89.452,214.3
ATLHOLD,33.753,-84.394,35.267,3.5,25.194,41.935
AURORCO,39.71,-104.796,0.0,2.0,0.032,0.032
AUSHOLD,30.269,-97.739,11.7,3.5,0.129,13.613
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
BAKERFL,30.296,-82.122,257.833,6.0,43.4,295.161
BALDWAL,30.885,-87.775,1.633,2.0,1.633,1.633
BALHOLD,39.255,-76.681,10.533,3.5,6.679,13.367
BANNOID,42.825,-112.389,0.0,2.0,0.032,5.065
BARRECA,32.718,-116.677,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.582,322.7,6.0,244.355,756.774
BEDCITX,32.842,-97.131,41.9,3.5,1.968,44.367
BEDFOOH,41.406,-81.498,84.233,3.5,12.733,84.233
BEDFOPA,40.017,-78.506,0.0,2.0,0.065,0.323
