detention_facility_code,name,state,start,end,place,type
SPIPDTX,South Padre Island Police Dept.,TX,125,126,"South Padre Island, TX",Other
SSHSWMA,South Shore Hospital,MA,182,185,"South Weymouth, MA",Medical
STFRCTX,South Texas Fam Residential Center,TX,74,191,"Dilley, TX",Family / Children
STCDFTX,South Texas ICE Processing Center,TX,0,197,"Pearsall, TX",Dedicated
STDHOLD,South Texas/Pearsall Hold Room,TX,29,197,"Pearsall, TX",Hold
SOUTECO,Southern Ute Detention Center,CO,0,15,"Ignacio, CO",Non-dedicated
SPOHOLD,Spokane Hold Room,WA,150,197,"Spokane, WA",Hold
SPOTSVA,Spotsylvania Reg Med Ctr,VA,183,193,"Fredericksburg, VA",Medical
SPRNGOR,Springfield City Jail,OR,48,117,"Springfield, OR",Non-dedicated
SPGHOLD,Springfield Dro Hold,MO,24,197,"Strafford, MO",Hold
BOPSPG,Springfield Fed.Med.Cntr,MO,0,196,"Springfield, MO",Federal
STFRHGA,St Francis Hospital,GA,193,194,"Columbus, GA",Medical
STJMCWA,St Joseph Medical Center,WA,183,197,"Tacoma, WA",Medical
STLAWNY,St Lawrence County Jail,NY,59,60,"Canton, NY",Non-dedicated
SLBHSTX,St Luke's Baptist Hospital,TX,174,176,"San Antonio, TX",Medical
SLHTWTX,St Luke's Health - The Woodlands,TX,183,197,"The Woodlands, TX",Medical
STMARCA,St Mary Medical Center,CA,69,197,"Apple Valley, CA",Medical
STMARAZ,St Mary's Hospital,AZ,55,123,"Tucson, AZ",Medical
STTCJVI,St T Criminal Just Complx,VI,0,179,"Charlotte Amalie, VI",Non-dedicated
STTAMLA,St Tammany Parish Jail,LA,42,183,"Covington, LA",Non-dedicated
STCLAMI,St. Clair County Jail,MI,0,197,"Port Huron, MI",Non-dedicated
STCROWI,St. Croix County Jail,WI,37,38,"Hudson, WI",Non-dedicated
SGUHOLD,"St. George, UT Holdroom",UT,32,197,"Saint George, UT",Hold
STJONFL,St. John's County Jail,FL,166,197,"St. Augustine, FL",Other
STJOSCA,St. Joseph's Hospital,CA,1,165,"Orange, CA",Medical
STJOSAZ,St. Joseph's Hospital & Med. Cen.,AZ,10,191,"Phoenix, AZ",Medical
STLHOLD,St. Louis Holdroom,MO,24,197,"St. Louis, MO",Hold
STMRYIL,St. Mary of The Nazareth,IL,0,34,"Chicago, IL",Medical
SMARYMD,St. Mary's Co Det Cntr,MD,0,9,"Leonardtown, MD",Non-dedicated
SSPBAAZ,Staybridge Ste Pho  B A ,AZ,142,157,"Phoenix, AZ",Hotel
ALESSAZ,Stes On Scottsdale Casa De Alegria,AZ,151,159,"Scottsdale, AZ",Family / Children
STEUBNY,Steuben County Jail,NY,0,70,"Bath, NY",Non-dedicated
STEVEWA,Stevens County Jail,WA,2,116,"Colville, WA",Non-dedicated
STWRTGA,Stewart Detention Center,GA,0,197,"Lumpkin, GA",Dedicated
STK,Stockton Staging Facility,CA,7,197,"Stockton, CA",Hold
STOPDIL,Stone Park Police Dept.,IL,6,23,"Stone Park, IL",Non-dedicated
STORYIA,Story County Jail,IA,106,146,"Nevada, IA",Federal
STRAFNH,Strafford Co Dept Of Corr,NH,0,197,"Dover, NH",Non-dedicated
STRMONY,Strong Memorial Hospital,NY,190,197,"Rochester, NY",Medical
STUHOLD,Stuart Hold Room,FL,89,197,"Stuart, FL",Hold
STUTSND,"Stutsman Co. Jail, ND",ND,40,49,"Jamestown, ND",Non-dedicated
SUFFONY,Suffolk Co.Correc Fac,NY,108,132,"Riverhead, NY",Federal
SUFFOMA,Suffolk Hoc Sbay,MA,0,137,"Boston, MA",Non-dedicated
SUMMIUT,Summit County Jail,UT,0,196,"Park City, UT",Non-dedicated
SUMTEFL,Sumter County Jail,FL,195,197,"Bushnell, FL",Other
SUNNYWA,Sunnyside Jail,WA,0,119,"Sunnyside, WA",Non-dedicated
SUPHDTX,Super 8 By Wyndham,TX,150,154,"Hidalgo, TX",Hotel
SP8WWTX,Super 8 Wyndham Weslaco,TX,150,152,"Weslaco, TX",Hotel
SSHBWTX,Surestay Hotel Best West,TX,142,151,"Mission, TX",Hotel
SUSSEDE,"Sussex Co Pris,Geotwn,DE",DE,40,46,"Georgetown, DE",Non-dedicated
SUSSENJ,Sussex County Jail,NJ,0,124,"Newton, NJ",Non-dedicated
SUWANFL,Suwannee County Jail,FL,159,168,"Live Oak, FL",Other
SWEETWY,Sweetwater County Jail,WY,0,197,"Rock Springs, WY",Federal
SYRHOLD,Syracuse Hold Room,NY,195,197,"N Syracuse, NY",Hold
CCAHUTX,T Don Hutto Residential Center,TX,0,197,"Taylor, TX",Family / Children
THHEBTX,TX Health Meth Hosp Heb,TX,142,143,"Bedford, TX",Medical
THHMHTX,TX Hlth Harris Meth Hosp,TX,192,194,"Fort Woth, TX",Medical
TACGHWA,Tacoma General Hospital,WA,193,196,"Tacoma, WA",Medical
TALHOLD,Tallahassee Hold Room,FL,88,197,"Tallahassee, FL",Hold
TALLAMS,Tallahatchie Co Corr Facility,MS,117,161,"Tutwiler, MS",Federal
TAMHOLD,Tampa Hold Room,FL,30,197,"Tampa, FL",Hold
MATSHOS,Taunton State Hospital,MA,0,130,"Taunton, MA",Medical
TAYLOTX,Taylor County Adult Det.,TX,39,144,"Abilene, TX",Non-dedicated
TELLECO,Teller County Jail,CO,0,197,"Divide, CO",Non-dedicated
TEMPLCA,Temple Medical,CA,18,126,"Los Angeles, CA",Medical
TENSALA,Tensas Parish Det. Cntr.,LA,0,126,"Waterproof, LA",Non-dedicated
BOPTHA,Terre Haute USP,IN,0,107,"Terre Haute, IN",Federal
TETONWY,Teton County Detention Center,WY,0,150,"Jackson, WY",Federal
MATEWKS,Tewksbury State Hospital,MA,3,115,"Tewksbury, MA",Medical
THHHBTX,Tex Health Huguley Hosp,TX,142,197,"Burleson, TX",Medical
TXAHOLD,Texarkana Holdroom,TX,40,197,"Texarkana, TX",Hold
TVMSATX,Texas Vista Medical Center,TX,167,187,"San Antonio, TX",Medical
TLACYCA,Theo Lacy Facility,CA,22,130,"Orange, CA",Non-dedicated
THPSCTX,Thop Sierra Campus Elp,TX,134,191,"El Paso, TX",Other
BOPTRV,Three Rivers FCI,TX,41,138,"Three Rivers,, TX",Federal
TIOGANY,Tioga County Jail,NY,6,67,"Owego, NY",Non-dedicated
TITUSTX,Titus County Jail,TX,105,197,"Mt. Pleasant, TX",Federal
TGREETX,Tom Green Cty Jail,TX,0,197,"San Angelo, TX",Federal
TOOELUT,Tooele County Jail,UT,86,197,"Tooele, UT",Federal
TOOLEMT,Toole County Jail,MT,0,187,"Shelby, MT",Non-dedicated
TORHOLD,Tornillo Adult Hold Room,TX,121,135,"Tornillo, TX",Hold
TOORANM,"Torrance/Estancia, NM",NM,0,197,"Estancia, NM",Non-dedicated
TRVLIAZ,Traveler's Inn - Phoenix,AZ,144,145,"Phoenix, AZ",Hotel
TRAVITX,Travis County Jail,TX,21,125,"Austin, TX",Non-dedicated
TRICOIL,Tri-County Jail,IL,0,90,"Ullin, IL",Non-dedicated
TRRMCNJ,Trinitas Regional Med Ctr,NJ,175,195,"Elizabeth, NJ",Medical
TRYOSCA,Trinity Youth Services LTFC,CA,181,182,"Claremont, CA",Other
TAKARTX,Trusted Adult Karnes FSC,TX,163,171,"San Antonio, TX",Other
TASTDTX,Trusted Adult South Tex Dilley FSC,TX,163,172,"Dilley, TX",Other
BOPTCN,Tucson Fed.Corr.Inst.,AZ,85,174,"Tucson, AZ",Federal
TUCHOLD,Tucson INS Hold Room,AZ,0,197,"Tucson, AZ",Hold
TULCOOK,Tulsa County Jail,OK,0,197,"Tulsa, OK",Non-dedicated
TULHOLD,Tulsa Hold Room,OK,121,197,"Tulsa, OK",Hold
TFALLID,Twin Falls County Jail,ID,0,188,"Twin Falls, ID",Non-dedicated
TFIHOLD,Twin Falls Hold Room,ID,75,197,"Twin Falls, ID",Hold
DETHOLD,"U.S. Immigration, Detroit",MI,0,197,"Detroit, MI",Hold
UCSDMCA,UC San Diego Medical Center,CA,183,187,"San Diego, CA",Medical
UPMCAPA,UPMC Altoona,PA,177,192,"Altoona, PA",Other
SPMHOLD,US INS/Detention & Deportation,MN,0,197,"Bloomington, MN",Hold
USMVT,"US Marshal's, Vermont",VT,16,83,"Burlington, VT",Federal
USMS2TX,US Marshals  SDTX,TX,65,129,"Houston, TX",Other
USMS3TX,US Marshals  SDTX,TX,75,106,"Mcallen, TX",Federal
USMSDMS,"US Marshals, S.Dist, MS",MS,75,98,"Jackson, MS",Federal
USMWDLA,"US Marshals, W.D. LA.",LA,81,191,"Shreveport, LA",Federal
USMSDFL,"US Marshals,S.Dist.FL",FL,17,21,"Miami, FL",Federal
BOPTCP,US Penitentiary Tucson,AZ,33,123,"Tucson, AZ",Federal
BOPCAA,USP Canaan,PA,11,197,"Waymart, PA",Federal
UCHUHCO,Uchealth Unv Hosp Of Co,CO,171,196,"Aurora, CO",Medical
UINTAWY,Uinta County Jail,WY,8,9,"Evanston, WY",Federal
UINTCUT,Uintah County Jail,UT,34,96,"Vernal, UT",Non-dedicated
NYULSTC,"Ulster CF, Napanoch",NY,103,104,"Napanoch, NY",Other
UMATCOR,Umatilla Co Jail,OR,1,95,"Pendleton, OR",Non-dedicated
UNIONNM,Union County Detention Center,NM,9,13,"Clayton, NM",Non-dedicated
UNIONSD,Union County Jail,SD,33,197,"Elk Point, SD",Federal
UHOSPIN,Union Hospital,IN,185,188,"Terre Haute, IN",Medical
UMEMCNY,United Memorial Med Ctr,NY,184,197,"Batavia, NY",Medical
UPSLHIA,Unity Point Hlth St Lukes Hosp,IA,185,186,"Cedar Rapids, IA",Medical
UHGMCOH,Univ Hosp Geauga Med Ctr,OH,171,194,"Chardon, OH",Medical
UNIVHNJ,University Hospital,NJ,178,195,"Newark, NJ",Medical
UVHSATX,University Hospital,TX,166,197,"San Antonio, TX",Medical
UMCEPTX,University Med Center of El Paso,TX,133,197,"El Paso, TX",Medical
UMIAHFL,University Of Miami Hospital,FL,95,196,"Miami, FL",Medical
UNMHANM,University of New Mexico Hospital,NM,188,191,"Albuquerque, NM",Medical
UCSDHCA,Unv California San Diego Hospital,CA,165,175,"San Diego, CA",Medical
UPSTANY,Upstate University Hospital,NY,33,34,"Syracuse, NY",Medical
UTAHCUT,Utah County Jail,UT,0,168,"Spanish Fork, UT",Non-dedicated
UVALDTX,Uvalde County Jail,TX,110,196,"Uvalde, TX",Other
VTDCORR,VT. Dept. Of Corrections,VT,0,163,"Waterbury, VT",Non-dedicated
VALJUTX,Val Verde County Juvenile,TX,14,29,"Del Rio, TX",Family / Children
VALVETX,Val Verde Detention Center,TX,13,197,"Del Rio, TX",Federal
VBHOSTX,Valley Baptist Hospital,TX,0,197,"Harlingen, TX",Medical
VWHMCAZ,Valleywise Health Med Ctr,AZ,173,197,"Phoenix, AZ",Medical
VNBRNMI,Van Buren Township PD,MI,0,17,"Belleville, MI",Non-dedicated
VRK,Varick Street SPC,NY,0,176,"New York, NY",Hold
PRVEGAL,Vega Alta Det. Facility,PR,24,69,"Vega Alta, PR",Non-dedicated
VENTUCA,Ventura County Jail,CA,5,168,"Ventura, CA",Federal
VENHOLD,Ventura Custody Case,CA,0,197,"Camarrillo, CA",Hold
VVGMCCA,Victor Valley Global Med Center,CA,68,197,"Victorville, CA",Medical
VICTOTX,Victoria County Jail,TX,158,159,"Victoria, TX",Non-dedicated
VIRBEVA,Virginia Beach,VA,0,196,"Virginia Beach, VA",Non-dedicated
VPREGVA,Virginia Peninsula Reg. Jail,VA,6,169,"Williamsburg, VA",Federal
VISTACA,Vista Detention Facility,CA,8,119,"Vista, CA",Non-dedicated
WVREGWV,WV Regional Jail & Corr.,WV,0,109,"Charleston, WV",Non-dedicated
WCCSDCA,Wackenhut Corrections Corp,CA,44,132,"San Diego, CA",Non-dedicated
WCTHOLD,Waco DRO Hold Room,TX,20,197,"Waco, TX",Hold
WAKECNC,Wake County Sheriff Dept.,NC,0,123,"Raleigh, NC",Non-dedicated
WAKULFL,Wakulla County Jail,FL,0,151,"Crawfordville, FL",Non-dedicated
WALSHND,Walsh County Jail,ND,38,71,"Grafton, ND",Non-dedicated
MIWPRPH,Walter Reuther Psychiatric Center,MI,61,65,"Westland, MI",Medical
WALWOWI,Walworth County Jail,WI,45,47,"Elkhorn, WI",Non-dedicated
WARDCND,Ward County Jail,ND,44,197,"Minot, ND",Federal
WARCOTX,"Ward Cty Jail, Monahans",TX,65,87,"Monahans, TX",Federal
WASATUT,Wasatch County Jail,UT,70,71,"Heber, UT",Non-dedicated
WASHAWY,Washakie County Jail,WY,6,7,"Worland, WY",Non-dedicated
WASHIME,Washington County Jail,ME,0,30,"Machias, ME",Non-dedicated
WASHIAR,Washington County Jail,AR,0,197,"Fayetteville, AR",Federal
WASHCUT,Washington County Jail,UT,0,176,"Hurricane, UT",Federal
WASCONY,Washington County Jail,NY,0,84,"Fort Edward, NY",Federal
WAJAIMN,Washington County Jail,MN,101,197,"Stillwater, MN",Federal
WASHICO,Washington County Jail,CO,0,126,"Akron, CO",Federal
WASHOLD,Washington Field Office,VA,0,197,"Fairfax, VA",Hold
WASHONV,Washoe County Jail,NV,0,197,"Reno, NV",Federal
WASHTMI,"Washtenaw Co, An Arbor,MI",MI,0,92,"Ann Arbor, MI",Family / Children
WRMEDWI,Watertown Regional Medical Center,WI,185,186,"Waterton, WI",Medical
WAUKEWI,Waukesha County Jail,WI,132,197,"Waukesha, WI",Federal
WAYNENY,Wayne County Jail,NY,0,102,"Lyons, NY",Federal
WAYNEMI,"Wayne County, Detroit",MI,0,15,"Detroit, MI",Non-dedicated
WEBDCTX,Webb County Detention Center (CCA),TX,97,197,"Laredo, TX",Dedicated
WEBERUT,Weber County Jail,UT,0,53,"Ogden, UT",Federal
WNTHOLD,Wenatchee Hold Room,WA,153,197,"Yakima, WA",Hold
WWDHDNH,Wentworth Douglas Hospital,NH,176,193,"Dover, NH",Medical
WBATOLA,West Baton Rouge Det Ctr,LA,0,8,"Port Allen, LA",Non-dedicated
WKBHMFL,West Kendall Baptist Hosp,FL,121,197,"Miami, FL",Medical
WMDBHFL,West Miami Dade Bapt Health Emerg,FL,164,197,"Miami, FL",Medical
WOAKSTX,West Oaks Hospital,TX,0,65,"Houston, TX",Medical
WTXDFTX,West Texas Detention Facility,TX,8,158,"Sierra Blanca, TX",Federal
CAWVALL,West Valley,CA,37,49,"Rancho Cucamonga, CA",Other
WSTMCCA,Western Medical Center,CA,3,81,"Santa Ana, CA",Medical
TNWESDF,Western Tennessee Det. Fac.,TN,0,183,"Mason, TN",Federal
WTREGVA,Western Tidewater Reg. Jail,VA,27,132,"Suffolk, VA",Federal
WVIRGVA,Western Virginia Regional Jail,VA,164,191,"Salem, VA",Federal
WESHOLD,Westminster Custody,CA,6,196,"Westminster, CA",Hold
WMLNDPA,Westmoreland County Jail,PA,0,9,"Greensburg, PA",Non-dedicated
WMHOSCA,White Memorial Hospital,CA,0,194,"Los Angeles, CA",Medical
WHITFGA,Whitfield County Jail,GA,23,186,"Dalton, GA",Non-dedicated
WICHOLD,Wichita Holdroom,KS,24,196,"Wichita, KS",Hold
AKWILPT,Wildwood Pre-Trial Fac.,AK,3,158,"Kenai, AK",Non-dedicated
AKWILCC,Wildwood State Corr. Ctr.,AK,70,71,"Kenai, AK",Non-dedicated
WCRDFTX,Willacy Co  Regional Detn Facil,TX,69,166,"Raymondville, TX",Federal
WILLCTX,Willacy County Detention Center,TX,0,35,"Raymondville, TX",Dedicated
WILLITX,Williamson County Jail,TX,0,1,"Georgetown, TX",Non-dedicated
WILLITN,Williamson County Jail,TN,0,5,"Franklin, TN",Non-dedicated
WPOHOLD,Williamsport Hold Room,PA,191,197,"Williamsport, PA",Hold
WINWYAZ,Wingate Wyndham Casa Esperanza,AZ,152,159,"Yuma, AZ",Family / Children
WINCOTX,Winkler County Jail,TX,58,106,"Kermit, TX",Non-dedicated
LAWINCI,Winn Corr Institute,LA,127,197,"Winnfield, LA",Dedicated
WOODBIA,Woodbury County Jail,IA,152,194,"Sioux City, IA",Non-dedicated
WORCEMD,Worcester Co. Jail,MD,0,173,"Snow Hill, MD",Non-dedicated
WYATTRI,Wyatt Detention Center,RI,0,197,"Central Falls, RI",Federal
WYMCONY,Wyoming County Jail,NY,132,133,"Warsaw, NY",Non-dedicated
YIKIMWA,Yakima County,WA,0,129,"Yakima, WA",Federal
YAKHOLD,Yakima Sub-Office,WA,20,197,"Yakima, WA",Hold
YANCOSD,Yankton Co. Jail SD,SD,100,167,"Yankton, SD",Federal
YATESNY,Yates County Jail,NY,6,69,"Penn Yan, NY",Non-dedicated
YAVCVAZ,Yavapai County Detention Center,AZ,0,111,"Camp Verde, AZ",Non-dedicated
YAVAPAZ,Yavapai County Jail,AZ,0,93,"Prescott, AZ",Non-dedicated
YELLOMT,Yellowstone County Jail,MT,0,185,"Billings, MT",Federal
CTYORCI,York Corr Inst,CT,1,10,"Niantic, CT",Non-dedicated
YORCOSC,York County Detention Center,SC,0,197,"York, SC",Federal
YORKCME,York County Jail,ME,14,143,"Alfred, ME",Non-dedicated
YORCOPA,"York County Jail, PA",PA,0,155,"York, PA",Non-dedicated
YRKHOLD,York Hold Room,PA,146,197,"York, PA",Hold
YUBAJCA,Yuba County Jail,CA,0,172,"Marysville, CA",Non-dedicated
YUMHOLD,Yuma Holdroom,AZ,0,197,"Yuma, AZ",Hold
YRMDCAZ,Yuma Regional Med Ctr,AZ,188,189,"Yuma, AZ",Medical
ZAVCOTX,Zavala County Jail,TX,13,192,"Crystal City, TX",Non-dedicated
