code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.053,-106.629,14.467,3.5,3.71,29.3
ADACOID,43.607,-116.27,0.0,2.0,0.032,10.194
ADAMSCO,39.987,-104.799,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.0,2.0,0.032,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
ADLNTCA,34.558,-117.442,601.333,9.0,4.839,601.333
AGAHOLD,13.477,144.748,0.0,2.0,0.032,0.533
AGC,18.494,-67.142,0.0,2.0,0.032,59.516
AIRHOPR,18.44,-66.005,0.0,2.0,0.032,0.516
AKCOOKI,61.219,-149.871,0.0,2.0,0.033,0.871
AKFAIRB,64.835,-147.761,0.0,2.0,0.032,0.968
AKHIGHL,61.304,-149.58,0.0,2.0,0.032,3.857
AKKETCH,55.348,-131.65,0.0,2.0,0.033,0.161
AKLEMON,58.361,-134.488,0.0,2.0,0.032,0.677
AKMATSU,61.601,-149.119,0.0,2.0,0.129,0.129
AKMCYOU,61.188,-149.832,0.0,2.0,0.065,0.097
AKPALMC,61.588,-149.127,0.0,2.0,0.065,0.065
AKPSYNJ,40.257,-74.816,0.033,2.0,0.032,0.033
AKWILPT,60.583,-151.3,0.0,2.0,0.065,0.129
ALAMCNC,36.069,-79.402,33.733,3.5,30.8,89.067
ALBCONY,42.751,-73.815,5.5,2.0,1.6,32.233
ALBEMVA,38.006,-78.495,0.0,2.0,0.032,0.032
ALEXAVA,38.799,-77.067,0.0,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,0.033,2.0,0.032,25.964
ALLEGNY,42.212,-78.017,11.1,3.5,3.806,23.677
ALLEGPA,40.435,-79.994,5.833,2.0,1.839,16.484
ALMHOLD,37.488,-105.86,0.833,2.0,0.097,0.929
ANCHOAK,61.218,-149.858,0.867,2.0,0.367,9.714
ANJUVMN,45.181,-93.122,0.0,2.0,0.067,0.1
APACHAZ,34.502,-109.364,2.0,2.0,0.143,3.517
ARLCOVA,38.891,-77.083,0.0,2.0,0.032,52.29
AROOSME,46.125,-67.838,0.0,2.0,0.032,0.467
ASHRSFL,26.123,-80.137,0.5,2.0,0.29,2.903
ATLANGA,33.747,-84.395,51.833,3.5,51.833,214.3
ATLHOLD,33.753,-84.393,22.1,3.5,20.333,41.935
AURORCO,39.71,-104.79,0.0,2.0,0.032,0.032
AUSHOLD,30.27,-97.739,11.9,3.5,0.129,17.226
AVPARLA,31.116,-92.067,0.0,2.0,0.032,0.032
AZDCTUC,32.066,-110.859,0.0,2.0,0.033,0.033
BAILECA,32.59,-116.921,0.1,2.0,0.1,0.806
BAKERFL,30.296,-82.122,279.8,6.0,43.4,295.161
BALDWAL,30.885,-87.775,2.767,2.0,1.633,8.742
BALHOLD,39.255,-76.681,8.6,2.0,6.679,13.367
BANNOID,42.839,-112.41,0.0,2.0,0.032,5.065
BARNSMA,41.699,-70.304,0.0,2.0,0.267,0.267
BARRECA,32.73,-116.695,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.583,400.167,6.0,233.483,756.774
BEDCITX,32.841,-97.133,22.367,3.5,1.968,44.367
BEDFOOH,41.409,-81.497,37.067,3.5,12.733,84.233
BEDFOPA,40.008,-78.505,0.0,2.0,0.065,0.323
BEFAMPA,40.38,-76.02,82.8,3.5,29.929,83.226
BEJUVPA,40.383,-76.017,0.033,2.0,0.032,0.161
BENTOWA,46.221,-119.221,0.0,2.0,3.0,15.742
BERGENJ,40.874,-74.039,118.467,6.0,85.387,142.7
BERKSPA,40.383,-76.017,0.0,2.0,0.032,32.806
BERNANM,35.089,-106.651,0.0,2.0,0.032,0.267
BESECPA,40.383,-76.017,0.0,2.0,0.032,7.032
BHCALCA,34.077,-118.073,0.0,2.0,0.032,3.645
BHMHOLD,33.48,-86.791,0.0,2.0,2.1,2.1
BIGHOMT,45.733,-107.609,0.0,2.0,0.032,0.533
BIGHOWY,44.383,-108.04,0.0,2.0,0.033,0.033
BKLHOLD,35.374,-119.011,11.733,3.5,7.667,28.032
BLOUNTN,35.75,-83.991,0.0,2.0,1.643,4.733
BOEHOLD,31.792,-106.403,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.0,2.0,0.032,0.871
BOONEKY,39.037,-84.724,104.067,6.0,33.3,200.581
BOPALM,41.128,-76.922,0.0,2.0,0.613,2.0
BOPBRO,40.66,-74.003,0.0,2.0,0.032,0.032
