code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.053,-106.629,6.742,2.0,3.71,29.3
ABRXSPA,40.192,-75.916,0.194,2.0,0.194,0.194
ABTHOLD,32.562,-99.635,0.065,2.0,0.065,0.6
ADACOID,43.607,-116.27,0.0,2.0,0.032,10.194
ADAMSCO,39.987,-104.799,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.0,2.0,0.032,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
ADLNTCA,34.558,-117.442,1170.032,12.0,4.839,1262.133
AGAHOLD,13.477,144.748,0.032,2.0,0.032,0.533
AGC,18.494,-67.142,0.0,2.0,0.032,59.516
AIRHOPR,18.44,-66.005,0.419,2.0,0.032,0.516
AKCOOKI,61.219,-149.871,0.032,2.0,0.032,0.871
AKFAIRB,64.835,-147.761,0.419,2.0,0.032,0.968
AKHIGHL,61.304,-149.58,0.0,2.0,0.032,3.857
AKKETCH,55.348,-131.65,0.0,2.0,0.033,0.161
AKLEMON,58.361,-134.488,0.0,2.0,0.032,0.677
AKMATSU,61.601,-149.119,0.0,2.0,0.129,0.129
AKMCYOU,61.188,-149.832,0.0,2.0,0.065,0.097
AKPALMC,61.588,-149.127,0.0,2.0,0.065,0.167
AKPSYNJ,40.257,-74.816,0.0,2.0,0.032,0.033
AKWILPT,60.583,-151.3,0.0,2.0,0.065,0.133
ALAMCNC,36.069,-79.402,0.0,2.0,0.065,89.067
ALBCONY,42.751,-73.815,21.742,3.5,1.367,32.233
ALBEMVA,38.006,-78.495,0.0,2.0,0.032,0.097
ALEXAVA,38.799,-77.067,0.0,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,0.194,2.0,0.032,25.964
ALLEGNY,42.212,-78.017,5.774,2.0,3.806,23.677
ALLEGPA,40.435,-79.994,6.194,2.0,1.8,16.484
ALMHOLD,37.488,-105.86,0.258,2.0,0.065,0.929
AMTHOLD,35.223,-101.749,0.548,2.0,0.167,0.933
ANCHOAK,61.218,-149.858,0.645,2.0,0.065,9.714
ANJUVMN,45.181,-93.122,0.0,2.0,0.067,0.1
APACHAZ,34.502,-109.364,0.0,2.0,0.097,3.517
ARLCOVA,38.891,-77.083,0.0,2.0,0.032,52.29
AROOSME,46.125,-67.838,0.0,2.0,0.032,0.467
ASHECNC,36.419,-81.46,0.0,2.0,0.032,0.032
ASHRSFL,26.123,-80.137,0.581,2.0,0.161,2.903
ATLANGA,33.747,-84.395,16.452,3.5,6.567,214.3
ATLHOLD,33.753,-84.393,16.677,3.5,11.4,41.935
AURORCO,39.71,-104.79,0.0,2.0,0.032,0.032
AUSHOLD,30.27,-97.739,5.355,2.0,0.129,17.226
AVPARLA,31.116,-92.067,0.0,2.0,0.032,0.032
AZDCTUC,32.066,-110.859,0.0,2.0,0.033,0.033
BAILECA,32.59,-116.921,0.0,2.0,0.036,0.806
BAKERFL,30.296,-82.122,247.742,6.0,43.4,295.161
BALDWAL,30.885,-87.775,2.129,2.0,1.533,8.742
BALHOLD,39.255,-76.681,4.516,2.0,4.516,13.367
BANNOID,42.839,-112.41,0.0,2.0,0.032,5.065
BARNSMA,41.699,-70.304,0.0,2.0,0.267,0.267
BARRECA,32.73,-116.695,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.583,659.839,9.0,233.483,824.167
BEDCITX,32.841,-97.133,24.645,3.5,1.968,44.367
BEDFOOH,41.409,-81.497,25.839,3.5,12.733,84.233
BEDFOPA,40.008,-78.505,0.0,2.0,0.065,0.323
BEFAMPA,40.38,-76.02,69.387,3.5,23.742,84.633
BEJUVPA,40.383,-76.017,0.0,2.0,0.032,0.161
BENTOWA,46.221,-119.221,0.0,2.0,3.0,15.742
BERGENJ,40.874,-74.039,152.194,6.0,85.387,188.3
BERKSPA,40.383,-76.017,0.0,2.0,0.032,32.806
BERNANM,35.089,-106.651,0.0,2.0,0.032,0.267
BESECPA,40.383,-76.017,0.0,2.0,0.032,7.032
BHCALCA,34.077,-118.073,0.0,2.0,0.032,3.645
BHFLDMI,42.33,-85.192,0.0,2.0,0.097,0.167
BHMHOLD,33.48,-86.791,0.0,2.0,2.1,2.1
BIGHOMT,45.733,-107.609,0.0,2.0,0.032,0.533
BIGHOWY,44.383,-108.04,0.0,2.0,0.033,0.033
BKLHOLD,35.374,-119.011,5.968,2.0,5.903,28.032
BLOUNTN,35.75,-83.991,0.0,2.0,1.643,4.733
BOEHOLD,31.792,-106.403,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.0,2.0,0.032,0.871
BOONEKY,39.037,-84.724,146.129,6.0,33.3,200.581
BOPALM,41.128,-76.922,0.0,2.0,0.613,2.0
BOPBRO,40.66,-74.003,0.0,2.0,0.032,0.032
BOPBUT,36.187,-78.741,0.0,2.0,0.226,1.0
BOPCAA,41.565,-75.42,0.0,2.0,0.032,1.0
BOPCNV,36.226,-86.627,0.0,2.0,0.032,1.067
BOPCUM,39.597,-78.754,0.0,2.0,0.467,1.0
BOPGUA,18.423,-66.112,17.419,3.5,10.355,72.133
BOPHON,21.333,-157.929,26.806,3.5,26.806,70.871
BOPLEX,38.104,-84.56,0.032,2.0,0.032,0.032
BOPLOF,34.677,-120.5,1.516,2.0,0.033,3.233
BOPLOM,34.679,-120.505,0.0,2.0,0.032,0.032
BOPLOS,34.054,-118.238,0.0,2.0,0.032,0.032
BOPMAR,37.663,-88.984,0.0,2.0,0.933,1.0
BOPMCR,36.688,-84.388,0.0,2.0,0.032,1.0
BOPMEM,35.156,-89.867,0.0,2.0,0.107,1.033
BOPMIM,25.778,-80.193,0.0,2.0,0.065,0.065
BOPOAD,30.821,-92.641,1.032,2.0,1.0,773.067
BOPPHX,33.832,-112.168,0.129,2.0,0.067,0.214
BOPRAE,32.052,-82.874,0.0,2.0,0.032,0.179
BOPRCH,44.023,-92.44,0.0,2.0,0.871,2.0
BOPSDC,32.714,-117.166,0.0,2.0,0.032,3.032
BOPSET,47.422,-122.302,0.0,2.0,0.032,1.0
BOPSPG,37.178,-93.323,0.71,2.0,0.032,8.5
BOPTCP,32.08,-110.858,0.0,2.0,0.033,0.871
BOPTHA,39.416,-87.451,2.0,2.0,0.567,2.067
BOPTRV,28.482,-98.157,0.0,2.0,0.129,0.129
BOPVIM,34.572,-117.38,0.0,2.0,0.033,0.033
BOSHOLD,42.483,-71.209,0.452,2.0,0.097,4.323
BOTTIND,48.828,-100.45,0.0,2.0,0.032,0.933
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.366,-71.052,0.0,2.0,0.032,1.806
BRADEFL,27.495,-82.573,0.0,2.0,0.032,1.0
BRCHOLD,40.272,-103.625,0.226,2.0,0.226,1.833
BRGMCFL,26.103,-80.141,0.258,2.0,0.032,1.871
BRINDMA,41.665,-70.996,143.065,6.0,111.467,242.548
BROADMT,46.321,-111.516,0.0,2.0,0.065,0.533
BROCRFL,26.121,-80.143,0.0,2.0,0.032,0.067
BROJAFL,26.115,-80.143,0.0,2.0,0.032,0.032
BROKSTX,27.248,-98.126,110.806,6.0,0.179,451.903
BROMMNY,42.131,-75.913,0.0,2.0,0.033,0.548
BROWNSD,45.465,-98.486,0.0,2.0,0.065,0.258
BSAHOLD,41.869,-87.866,20.548,3.5,0.032,20.548
